datetime,symbol,open,high,low,close,volume,amount
2021-01-04,601939.SH,4.728891802204105,4.736470154451227,4.751626858945471,4.698578393215618,1955596.81,121850.99
2021-01-05,601939.SH,4.713735097709861,4.698578393215618,4.728891802204105,4.66826498422713,1816628.75,112421.13
2021-01-06,601939.SH,4.691000040968496,4.744048506698348,4.744048506698348,4.683421688721373,1346543.94,83837.64
2021-01-07,601939.SH,4.759719775492647,4.782457290343725,4.835511491662912,4.72940308902454,1798607.37,113132.89
2021-01-08,601939.SH,4.790036461960752,4.805194805194805,4.850669834896965,4.774878118726699,1836192.6,116523.75
2021-01-11,601939.SH,4.820353148428858,4.888565692982097,4.926461551067229,4.812773976811831,2684473.56,173151.71
2021-01-12,601939.SH,4.888565692982097,4.918882379450203,4.926461551067229,4.835511491662912,1827318.11,117562.13
2021-01-13,601939.SH,4.911303207833177,4.987094924003442,5.002253267237494,4.90372403621615,1537755.28,100546.87
2021-01-14,601939.SH,4.994674095620468,4.9643574091523615,5.070465811790733,4.956778237535335,1500280.42,99029.55
2021-01-15,601939.SH,5.017411610471547,5.070465811790733,5.176574214429104,5.017411610471547,2914589.89,196067.13
2021-01-18,601939.SH,5.115940841492892,5.123520013109919,5.153836699578024,5.0477282969396535,1786202.62,120270.43
2021-01-19,601939.SH,5.115940841492892,5.2675242738334225,5.328157646769634,5.07804498340776,2607771.17,179708.35
2021-01-20,601939.SH,5.252365930599369,5.138678356343972,5.297840960301528,5.108361669875865,1846212.2,126073.93
2021-01-21,601939.SH,5.176574214429104,5.108361669875865,5.214470072514237,5.062886640173706,1636534.78,110650.27
2021-01-22,601939.SH,5.085624155024786,4.987094924003442,5.108361669875865,4.934040722684256,1775989.12,116934.74
2021-01-25,601939.SH,4.941619894301282,5.009832438854521,5.0325699537056,4.8961448645991235,1528690.97,99933.26
2021-01-26,601939.SH,5.002253267237494,5.05530746855668,5.085624155024786,4.987094924003442,1097441.12,73175.09
2021-01-27,601939.SH,5.040149125322627,5.100782498258839,5.199311729280184,5.0325699537056,1463140.98,99031.48
2021-01-28,601939.SH,5.070465811790733,5.0477282969396535,5.138678356343972,5.009832438854521,1306427.51,87237.05
2021-01-29,601939.SH,5.070465811790733,5.123520013109919,5.18415338604613,5.017411610471547,1894631.91,127853.49
2021-02-01,601939.SH,5.085624155024786,5.123520013109919,5.153836699578024,5.002253267237494,1617046.24,108251.22
