datetime,symbol,open,high,low,close,volume,成交额(万元)
2025-10-20,600519.SH,1455.0,1469.5,1454.88,1457.93,25949.88,379328.38
2025-10-17,600519.SH,1483.1,1488.0,1454.03,1455.0,38085.89,559472.49
2025-10-16,600519.SH,1461.92,1484.95,1458.88,1484.91,45730.15,674916.29
2025-10-15,600519.SH,1450.98,1463.0,1445.08,1462.0,42785.4,623340.75
2025-10-14,600519.SH,1429.99,1464.0,1429.99,1451.02,66672.33,963948.46
2025-10-13,600519.SH,1415.7,1422.85,1415.12,1419.2,46068.8,653314.75
2025-10-10,600519.SH,1437.6,1439.94,1427.5,1430.0,36001.44,515745.93
2025-10-09,600519.SH,1436.0,1439.38,1420.0,1436.78,54918.12,784544.89
2025-09-30,600519.SH,1460.0,1460.76,1440.0,1443.99,39363.62,568747.49
2025-09-29,600519.SH,1439.38,1469.99,1435.0,1460.86,53684.03,779843.46
2025-09-26,600519.SH,1441.18,1447.11,1428.01,1435.0,45120.71,648088.96
2025-09-25,600519.SH,1442.83,1445.21,1436.0,1439.0,33869.73,487327.47
2025-09-24,600519.SH,1434.07,1456.78,1434.07,1442.0,30743.5,444305.29
2025-09-23,600519.SH,1450.5,1457.5,1440.0,1447.42,38663.0,558838.44
2025-09-22,600519.SH,1465.09,1467.97,1450.01,1453.35,34947.08,508505.75
2025-09-19,600519.SH,1467.99,1475.5,1457.01,1467.97,32636.62,478452.89
2025-09-18,600519.SH,1492.0,1497.8,1463.5,1467.96,49721.25,734747.75
2025-09-17,600519.SH,1499.99,1510.28,1490.01,1493.0,30330.54,453477.06
2025-09-16,600519.SH,1515.1,1520.99,1496.21,1499.98,32717.89,492837.45
2025-09-15,600519.SH,1515.87,1517.48,1501.5,1515.1,25827.03,390192.97
2025-09-12,600519.SH,1526.0,1538.02,1510.53,1516.0,33722.09,513218.49
2025-09-11,600519.SH,1522.01,1526.02,1508.5,1523.5,37238.96,564277.85
2025-09-10,600519.SH,1506.66,1529.95,1496.0,1522.01,49663.31,754146.0
2025-09-09,600519.SH,1505.0,1509.95,1493.42,1505.0,35742.77,536665.0
2025-09-08,600519.SH,1483.0,1506.44,1477.5,1501.23,51382.98,768206.57
2025-09-05,600519.SH,1471.0,1486.97,1464.0,1483.0,37388.48,551931.22
2025-09-04,600519.SH,1472.0,1479.3,1460.47,1472.66,47746.76,701708.47
2025-09-03,600519.SH,1491.0,1503.5,1466.0,1480.55,45045.03,665601.11
2025-09-02,600519.SH,1478.66,1509.0,1478.0,1491.3,56688.37,847001.28
2025-09-01,600519.SH,1482.2,1488.0,1465.7,1476.1,45123.38,665891.86
2025-08-29,600519.SH,1453.0,1482.58,1452.0,1480.0,62256.48,915970.15
2025-08-28,600519.SH,1447.97,1456.1,1438.77,1446.1,39281.77,568367.33
2025-08-27,600519.SH,1481.88,1484.93,1448.0,1448.0,56006.09,818416.91
2025-08-26,600519.SH,1490.32,1494.23,1480.01,1481.61,39602.13,588391.7
2025-08-25,600519.SH,1470.01,1496.0,1466.0,1490.33,65324.55,967671.95
2025-08-22,600519.SH,1448.88,1464.0,1444.77,1463.95,44970.58,654486.74
2025-08-21,600519.SH,1453.45,1454.99,1443.65,1448.25,30890.57,447044.17
2025-08-20,600519.SH,1438.0,1452.8,1430.02,1450.0,45804.66,662309.57
2025-08-19,600519.SH,1433.5,1446.66,1432.0,1438.0,46371.86,667854.1
2025-08-18,600519.SH,1426.99,1436.64,1423.1,1428.5,47377.98,677347.79
