交易日期,开盘,收盘,最高,最低,成交量,成交额(万元)
20220629,12.183568213262951,12.175251784448438,12.3914789336258,12.100403925117812,1266547.28,186506.47
20220628,12.0338724946017,12.166935355633925,12.200201070891978,11.983973921714616,1125110.48,163867.32
20220627,11.842594631867879,12.050505352230727,12.108720353932325,11.825961774238852,1497278.18,216638.04
20220624,11.809328916609822,11.834278203053366,11.850911060682392,11.734481057279197,866040.61,122779.87
20220623,11.717848199650168,11.809328916609822,11.834278203053366,11.692898913206628,806028.03,114089.91
20220622,11.942391777642046,11.709531770835655,11.942391777642046,11.709531770835655,1056045.92,149841.58
20220621,11.925758920013019,11.950708206456559,12.166935355633925,11.834278203053366,1321793.98,190534.61
20220620,12.008923208158157,11.925758920013019,12.008923208158157,11.859227489496906,1032166.8,147952.98
20220617,11.90912606238399,12.017239636972672,12.083771067488783,11.809328916609822,1053787.94,151392.59
20220616,12.258416072593576,12.008923208158157,12.333263931924202,11.99229035052913,1332546.31,193997.63
20220615,11.726164628464684,12.258416072593576,12.566123938730593,11.692898913206628,3413543.71,501029.27
20220614,11.40182390469864,11.74279748609371,11.751113914908226,11.40182390469864,1151429.39,160216.99
20220613,11.792696058980795,11.568152480988918,11.801012487795308,11.543203194545377,1547752.85,216334.01
20220610,11.859227489496906,11.90912606238399,11.917442491198504,11.751113914908226,1346012.31,191463.97
20220609,11.75943034372274,11.934075348827532,12.025556065787187,11.726164628464684,1632901.34,233998.67
20220608,11.776063201351768,11.776063201351768,11.784379630166281,11.651316769134057,1145521.24,161352.50
20220607,11.65963319794857,11.776063201351768,11.850911060682392,11.63468391150503,1315112.62,186036.67
20220606,11.568152480988918,11.784379630166281,11.784379630166281,11.343608902997042,1710851.75,237080.76
20220602,11.65963319794857,11.601418196246973,11.667949626763084,11.543203194545377,979268.22,136374.08
20220601,11.75943034372274,11.709531770835655,11.75943034372274,11.643000340319544,845298.98,118742.37
20220531,11.701215342021142,11.776063201351768,11.792696058980795,11.643000340319544,938868.55,132501.20
20220530,11.859227489496906,11.709531770835655,11.875860347125935,11.6762660555776,896901.23,126557.30
20220527,11.884176775940448,11.792696058980795,11.934075348827532,11.734481057279197,723066.74,102970.22
20220526,11.983973921714616,11.801012487795308,12.000606779343643,11.701215342021142,1011317.56,143568.93
20220525,12.000606779343643,11.967341064085588,12.050505352230727,11.892493204754963,603228.26,86622.89
20220524,12.366529647182258,11.975657492900103,12.366529647182258,11.975657492900103,933557.06,135869.35
20220523,12.532858223472537,12.333263931924202,12.532858223472537,12.275048930222605,647725.92,96268.37
20220520,12.22515035733552,12.491276079399967,12.507908937028995,12.200201070891978,948597.78,141516.47
20220519,12.100403925117812,12.15861892681941,12.22515035733552,12.058821781045241,590921.72,86321.41
20220518,12.34989678955323,12.266732501408091,12.383162504811287,12.200201070891978,778578.33,115050.04
20220517,12.067138209859756,12.233466786150036,12.24178321496455,11.90912606238399,931406.39,135742.84
20220516,12.191884642077465,11.983973921714616,12.250099643779063,11.934075348827532,668227.82,96565.23
20220513,12.058821781045241,12.150302498004894,12.191884642077465,12.050505352230727,676311.91,98596.29
20220512,12.042188923416214,11.959024635271074,12.108720353932325,11.917442491198504,685064.23,98706.16
20220511,12.092087496303296,12.166935355633925,12.341580360738716,12.008923208158157,848573.62,124070.04
20220510,12.058821781045241,12.133669640375867,12.14198606919038,11.734481057279197,992285.02,142583.69
20220509,12.424744648883856,12.100403925117812,12.424744648883856,12.025556065787187,818621.35,119710.42
20220506,12.491276079399967,12.441377506512884,12.640971798061218,12.399795362440313,832431.82,125099.56
20220505,12.640971798061218,12.740768943835386,12.848882518424068,12.599389653988649,790196.2,120873.51
20220429,13.048476809972403,12.740768943835386,13.090058954044974,12.449693935327398,1645013.08,250347.68
20220428,12.948679664198236,13.015211094714347,13.248071101520738,12.782351087907955,911771.87,142638.19
20220427,12.458010364141913,13.015211094714347,13.015211094714347,12.441377506512884,1490295.03,229679.88
20220426,12.374846075996773,12.250099643779063,12.458010364141913,12.017239636972672,988209.56,145692.96
20220425,13.031843952343374,12.34989678955323,13.23143824389171,12.291681787851632,1664480.98,252761.02
20220422,13.006894665899834,13.356184676109418,13.464298250698102,12.807300374351499,921274.08,146845.30
20220421,13.115008240488514,13.148273955746571,13.289653245593309,13.056793238786916,709891.16,112466.37
20220420,13.148273955746571,13.181539671004625,13.347868247294906,13.056793238786916,716555.28,113769.78
20220419,13.223121815077196,13.148273955746571,13.281336816778794,12.990261808270805,821772.49,129422.70
20220418,13.431032535440044,13.223121815077196,13.472614679512613,13.148273955746571,1086887.56,173423.65
20220415,13.223121815077196,13.655576113431923,13.747056830391577,13.18985609981914,1231761.03,201401.01
20220414,13.306286103222336,13.339551818480391,13.514196823585184,13.239754672706225,929614.94,149334.40
