iter	Passed	Remaining
470	703	790
471	704	788
472	705	786
473	706	784
474	708	782
475	709	780
476	710	779
477	711	777
478	712	775
479	714	773
480	715	771
481	716	769
482	717	767
483	718	766
484	719	764
485	720	762
486	722	760
487	723	758
488	724	757
489	725	755
490	726	753
491	728	751
492	729	749
493	730	748
494	731	746
495	732	744
496	733	742
497	734	740
498	736	738
499	737	737
500	738	735
501	739	733
502	740	731
503	741	730
504	743	728
505	744	726
506	745	724
507	746	723
508	747	721
509	749	719
510	750	718
511	751	716
512	752	714
513	753	712
514	755	711
515	756	709
516	757	707
517	758	705
518	759	704
519	760	702
520	762	700
521	763	698
522	764	697
523	765	695
524	766	693
525	767	691
526	769	690
527	770	688
528	771	686
529	772	685
530	774	683
531	775	681
532	776	680
533	777	678
534	778	676
535	780	675
536	781	673
537	782	671
538	783	670
539	784	668
540	785	666
541	786	664
542	787	663
543	789	661
544	790	659
545	791	658
546	792	656
547	793	654
548	794	653
549	796	651
550	797	649
551	798	648
552	799	646
553	800	644
554	801	642
555	803	641
556	804	639
557	805	638
558	806	636
559	807	634
560	808	633
561	809	631
562	811	629
563	812	628
564	813	626
565	814	624
566	815	623
567	817	621
568	818	619
569	819	618
570	820	616
571	821	614
572	822	613
573	823	611
574	825	609
575	826	608
576	827	606
577	828	605
578	829	603
579	831	601
580	832	600
581	833	598
582	834	596
583	835	595
584	837	593
585	838	592
586	839	590
587	840	588
588	841	587
589	843	585
590	844	584
591	845	582
592	846	581
593	847	579
594	848	577
595	849	576
596	851	574
597	852	572
598	853	571
599	854	569
600	855	568
601	856	566
602	857	564
603	858	563
604	860	561
605	861	559
606	862	558
607	863	556
608	864	555
609	865	553
610	867	552
611	868	550
612	869	548
613	870	547
614	871	545
615	872	544
616	874	542
617	875	541
618	876	539
619	877	537
620	878	536
621	879	534
622	880	533
623	882	531
624	883	529
625	884	528
626	885	526
627	886	525
628	887	523
629	888	521
630	889	520
631	890	518
632	891	517
633	892	515
634	894	513
635	895	512
636	896	510
637	897	509
638	898	507
639	899	506
640	900	504
641	901	502
642	903	501
643	904	499
644	905	498
645	906	496
646	907	495
647	908	493
648	909	491
649	910	490
650	911	488
651	912	487
652	914	485
653	915	484
654	916	482
655	917	481
656	918	479
657	919	477
658	920	476
659	921	474
660	923	473
661	924	471
662	925	470
663	926	468
664	927	467
665	928	465
666	929	464
667	930	462
668	931	461
669	932	459
670	933	457
671	935	456
672	936	454
673	937	453
674	938	451
675	939	450
676	940	448
677	942	447
678	943	445
679	944	444
680	945	442
681	946	441
682	947	439
683	948	438
684	949	436
685	950	434
686	951	433
687	952	431
688	953	430
689	954	428
690	955	427
691	956	425
692	957	424
693	959	422
694	960	421
695	961	419
696	962	418
697	963	416
698	964	415
699	966	414
700	967	412
701	968	411
702	969	409
703	970	408
704	971	406
705	972	405
706	973	403
707	975	402
708	976	400
709	977	399
710	978	397
711	979	396
712	980	394
713	981	393
714	982	391
715	983	389
716	984	388
717	985	387
718	986	385
719	987	384
720	988	382
721	989	381
722	990	379
723	991	378
724	993	376
725	994	375
726	995	373
727	996	372
728	997	370
729	998	369
730	999	367
731	1000	366
732	1001	364
733	1002	363
734	1004	362
735	1005	360
736	1006	359
737	1007	357
738	1008	356
739	1009	354
740	1010	353
741	1012	351
742	1013	350
743	1014	349
744	1015	347
745	1016	346
746	1017	344
747	1018	343
748	1020	341
749	1021	340
750	1022	338
751	1023	337
752	1024	336
753	1025	334
754	1026	333
755	1027	331
756	1028	330
757	1030	328
758	1031	327
759	1032	325
760	1033	324
761	1034	323
762	1035	321
763	1036	320
764	1037	318
765	1038	317
766	1039	315
767	1040	314
768	1041	312
769	1042	311
770	1044	310
771	1045	308
772	1046	307
773	1047	305
774	1048	304
775	1049	302
776	1050	301
777	1051	300
778	1052	298
779	1053	297
780	1055	295
781	1056	294
782	1057	293
783	1058	291
784	1059	290
785	1060	288
786	1061	287
787	1062	285
788	1064	284
789	1065	283
790	1066	281
791	1067	280
792	1068	278
793	1069	277
794	1070	276
795	1071	274
796	1072	273
797	1073	271
798	1074	270
799	1075	268
800	1077	267
801	1078	266
802	1079	264
803	1080	263
804	1081	262
805	1082	260
806	1083	259
807	1084	257
808	1085	256
809	1087	254
810	1088	253
811	1089	252
812	1090	250
813	1091	249
814	1092	247
815	1093	246
816	1094	245
817	1095	243
818	1096	242
819	1097	240
820	1098	239
821	1099	238
822	1100	236
823	1101	235
824	1103	233
825	1104	232
826	1105	231
827	1106	229
828	1107	228
829	1108	226
830	1109	225
831	1109	224
832	1110	222
833	1111	221
834	1112	219
835	1113	218
836	1115	217
837	1116	215
838	1116	214
839	1118	212
840	1119	211
841	1120	210
842	1121	208
843	1122	207
844	1123	206
845	1124	204
846	1125	203
847	1126	201
848	1127	200
849	1128	199
850	1129	197
851	1130	196
852	1131	194
853	1132	193
854	1133	192
855	1134	190
856	1135	189
857	1136	188
858	1137	186
859	1138	185
860	1139	184
861	1140	182
862	1141	181
863	1143	179
864	1144	178
865	1145	177
866	1146	175
867	1147	174
868	1148	173
869	1149	171
870	1150	170
871	1151	169
872	1152	167
873	1153	166
874	1154	164
875	1155	163
876	1156	162
877	1157	160
878	1158	159
879	1159	158
880	1160	156
881	1162	155
882	1163	154
883	1163	152
884	1165	151
885	1166	150
886	1167	148
887	1168	147
888	1169	145
889	1170	144
890	1171	143
891	1172	141
892	1173	140
893	1174	139
894	1175	137
895	1176	136
896	1177	135
897	1178	133
898	1179	132
899	1180	131
900	1181	129
901	1182	128
902	1183	127
903	1184	125
904	1185	124
905	1186	123
906	1187	121
907	1188	120
908	1189	119
909	1190	117
910	1191	116
911	1192	115
912	1194	113
913	1194	112
914	1195	111
915	1196	109
916	1197	108
917	1198	107
918	1199	105
919	1200	104
920	1201	103
921	1202	101
922	1203	100
923	1204	99
924	1205	97
925	1206	96
926	1207	95
927	1208	93
928	1209	92
929	1210	91
930	1211	89
931	1212	88
932	1213	87
933	1214	85
934	1215	84
935	1216	83
936	1217	81
937	1218	80
938	1219	79
939	1220	77
940	1221	76
941	1222	75
942	1223	73
943	1224	72
944	1225	71
945	1226	70
946	1227	68
947	1228	67
948	1229	66
949	1230	64
950	1231	63
951	1232	62
952	1233	60
953	1234	59
954	1235	58
955	1236	56
956	1237	55
957	1238	54
958	1239	53
959	1240	51
960	1241	50
961	1242	49
962	1244	47
963	1245	46
964	1246	45
965	1247	43
966	1248	42
967	1249	41
968	1250	39
969	1251	38
970	1252	37
971	1253	36
972	1254	34
973	1255	33
974	1256	32
975	1257	30
976	1258	29
977	1259	28
978	1260	27
979	1261	25
980	1262	24
981	1263	23
982	1265	21
983	1266	20
984	1267	19
985	1268	18
986	1269	16
987	1270	15
988	1271	14
989	1272	12
990	1273	11
991	1274	10
992	1275	8
993	1276	7
994	1277	6
995	1278	5
996	1279	3
997	1280	2
998	1281	1
999	1282	0
