iter	RMSE
0	0.2658111206
1	0.2584035695
2	0.2503444693
3	0.242622856
4	0.2362240901
5	0.2293635874
6	0.2216251862
7	0.2159627875
8	0.2099772149
9	0.2036841922
10	0.197178512
11	0.191095264
12	0.1853161387
13	0.1791166959
14	0.1736880013
15	0.168911487
16	0.1643544318
17	0.1599466564
18	0.1555491616
19	0.1514717097
20	0.1467495442
21	0.1425498724
22	0.1390203225
23	0.1349214205
24	0.1318839626
25	0.1287790144
26	0.125814618
27	0.1227730184
28	0.1196579512
29	0.1164546517
30	0.1135463458
31	0.111216853
32	0.1088231956
33	0.106318744
34	0.1035363777
35	0.101425335
36	0.09916659297
37	0.09695792267
38	0.09492200422
39	0.09311137569
40	0.09123796726
41	0.08940361561
42	0.08777040933
43	0.08565541655
44	0.08401804375
45	0.08224614597
46	0.08062827449
47	0.07913007678
48	0.07755115805
49	0.07605458302
50	0.07444698666
51	0.07315920716
52	0.07182122603
53	0.07048772815
54	0.06920466243
55	0.06797693425
56	0.06670240066
57	0.06560422065
58	0.06449978323
59	0.06353723838
60	0.06263770228
61	0.06169703901
62	0.06094326504
63	0.06001115929
64	0.05917486979
65	0.05839194454
66	0.05753606746
67	0.05683811391
68	0.05608223294
69	0.055434679
70	0.05476146256
71	0.0540708321
72	0.05346911496
73	0.05283816064
74	0.05219333159
75	0.051557184
76	0.05097723304
77	0.05039382568
78	0.04991972304
79	0.0495291538
80	0.04907544087
81	0.04863727465
82	0.04811943404
83	0.04761708952
84	0.04721081576
85	0.04682892435
86	0.0463718201
87	0.04600724962
88	0.04563699755
89	0.04524259024
90	0.0448672806
91	0.04453372395
92	0.04413018973
93	0.04373164666
94	0.04336248976
95	0.04299094253
96	0.04269845037
97	0.04235644978
98	0.04202915067
99	0.04177728778
100	0.04147677645
101	0.04116677901
102	0.04095192729
103	0.04068481936
104	0.04041020164
105	0.04015765842
106	0.03992405572
107	0.03971422737
108	0.03946742833
109	0.03922992707
110	0.03901793196
111	0.03878474247
112	0.03854316207
113	0.03831266518
114	0.03810379497
115	0.03790500032
116	0.03772244161
117	0.03754549
118	0.03734812058
119	0.03713985922
120	0.03694022829
121	0.03678118107
122	0.03656649878
123	0.03632040854
124	0.03614857903
125	0.03595220394
126	0.03575052466
127	0.0355633927
128	0.03541956701
129	0.03518934968
130	0.03504087388
131	0.03489563276
132	0.03477251564
133	0.03460220839
134	0.03450700198
135	0.03437580657
136	0.034262419
137	0.03420688725
138	0.03404356398
139	0.03389759093
140	0.03375557947
141	0.03360977929
142	0.03347774228
143	0.03344572548
144	0.03330391931
145	0.03320387294
146	0.03306095048
147	0.03290187765
148	0.03278612183
149	0.03264655566
150	0.03252844488
151	0.03237964246
152	0.03227646479
153	0.03218528131
154	0.03208244793
155	0.03197309599
156	0.03185670935
157	0.03168916681
158	0.03154898173
159	0.03149684076
160	0.03132098816
161	0.03123166725
162	0.03117452135
163	0.03105569216
164	0.03093870911
165	0.03088096911
166	0.03077446365
167	0.03067015462
168	0.03061086843
169	0.03054022277
170	0.03039641366
171	0.03027231758
172	0.03021738085
173	0.03016764246
174	0.0300516829
175	0.02988166414
176	0.02979638978
177	0.02974020813
178	0.02961212577
179	0.02948711748
180	0.02933757022
181	0.02924325138
182	0.02914133686
183	0.02905586584
184	0.02895357182
185	0.02886670707
186	0.02884465476
187	0.02870684115
188	0.02867691065
189	0.02863061722
190	0.02849379461
191	0.02843018954
192	0.0284140551
193	0.02828294469
194	0.02816429611
195	0.02796893633
196	0.0279044835
197	0.02788156092
198	0.02781996898
199	0.02774883369
200	0.02769967032
201	0.02762622608
202	0.02756102881
203	0.02749362833
204	0.02734886276
205	0.0273311124
206	0.02730465122
207	0.02728741071
208	0.02726978924
209	0.02710741782
210	0.02703671072
211	0.02685020143
212	0.02683344452
213	0.02673028979
214	0.02671584186
215	0.02661098447
216	0.02659192414
217	0.02657790704
218	0.02655722941
219	0.02642571228
220	0.02641468913
221	0.02631182605
222	0.02619685697
223	0.02611846961
224	0.02604454672
225	0.02601033368
226	0.02598261466
227	0.025929218
228	0.02584120013
229	0.02578392384
230	0.02569507842
231	0.02562343396
232	0.02556194671
233	0.02545591124
234	0.02535200781
235	0.02519231185
236	0.02508195591
237	0.02493862693
238	0.0248613054
239	0.02474481586
240	0.02462685595
241	0.02456736399
242	0.0244812842
243	0.02438657981
244	0.02437250215
245	0.02431542484
246	0.02423469052
247	0.02416622669
248	0.02414506596
249	0.02404247856
250	0.02395034822
251	0.02388466415
252	0.0238752103
253	0.02385554878
254	0.02378565919
255	0.023665852
256	0.02356196338
257	0.02344500552
258	0.02332011452
259	0.0232749656
260	0.02326403794
261	0.02315970263
262	0.02306690544
263	0.02299168618
264	0.02284042644
265	0.02277926582
266	0.02272635709
267	0.02270520674
268	0.02259615007
269	0.02254300598
270	0.02245213722
271	0.02238624345
272	0.02233858868
273	0.02226910439
274	0.02225168538
275	0.02218492108
276	0.02210924476
277	0.02210053957
278	0.02208382427
279	0.02202378366
280	0.02197424134
281	0.02190757993
282	0.02184913704
283	0.02180496165
284	0.02172999087
285	0.02166654264
286	0.02163662375
287	0.02155794296
288	0.02150471586
289	0.02149268691
290	0.02145779549
291	0.02144280103
292	0.02137168524
293	0.02129279769
294	0.02121776602
295	0.02113765886
296	0.02107184002
297	0.02104094501
298	0.02100930827
299	0.02098688011
300	0.02092760332
301	0.02084857673
302	0.02077520912
303	0.02073703869
304	0.02072383703
305	0.02067180548
306	0.02064453823
307	0.0206152752
308	0.02059739107
309	0.02055136042
310	0.02049459635
311	0.02040172033
312	0.02035632275
313	0.02032948335
314	0.02027219055
315	0.02015538214
316	0.02011023134
317	0.02005196231
318	0.01997106102
319	0.01989314083
320	0.01987534182
321	0.01981298411
322	0.01978509373
323	0.01974434942
324	0.01971511187
325	0.01965255658
326	0.01958562569
327	0.0195034158
328	0.01943461318
329	0.0193447285
330	0.01927985703
331	0.0191877445
332	0.01910996287
333	0.01907853399
334	0.0190530165
335	0.01904323832
336	0.01896979631
337	0.01893724258
338	0.01892095055
339	0.01887581433
340	0.01885685848
341	0.01881800288
342	0.01878980884
343	0.01878226628
344	0.01874477684
345	0.01869144808
346	0.01861772379
347	0.01855538207
348	0.01853634933
349	0.01851166773
350	0.01846968606
351	0.01842282966
352	0.01839239721
353	0.01837564616
354	0.01835164224
355	0.01824874814
356	0.01820574403
357	0.0181401706
358	0.01807576593
359	0.01800679318
360	0.01796391552
361	0.01791991469
362	0.01787335846
363	0.01785190067
364	0.01781800337
365	0.01780303729
366	0.01779856041
367	0.01775131518
368	0.01766576042
369	0.01763723828
370	0.01755328457
371	0.01753479411
372	0.01751807416
373	0.01750265515
374	0.01742919821
375	0.01740989609
376	0.01739116369
377	0.01732008244
378	0.01725102886
379	0.01718800394
380	0.01713518467
381	0.01702481401
382	0.01698028673
383	0.01696205476
384	0.01688377614
385	0.0168594624
386	0.01680273677
387	0.01676917603
388	0.01671405546
389	0.01670469071
390	0.01668265471
391	0.01661755945
392	0.01660277392
393	0.0165503019
394	0.01651676038
395	0.01641680214
396	0.01640048051
397	0.01636634103
398	0.01633331952
399	0.01632078854
400	0.01629444318
401	0.01624649218
402	0.01621868462
403	0.01618589861
404	0.01614668838
405	0.01609965612
406	0.0160236422
407	0.01601896027
408	0.01601177876
409	0.01599540031
410	0.0159662791
411	0.01593522819
412	0.01592601741
413	0.01587745212
414	0.01583779084
415	0.0157956218
416	0.01579189532
417	0.01573296016
418	0.01572570176
419	0.01571110165
420	0.01570626076
421	0.01569421943
422	0.01568999304
423	0.01564008167
424	0.01562495258
425	0.01557401497
426	0.01553086286
427	0.01552503722
428	0.0155051616
429	0.01547256538
430	0.01543161332
431	0.01540321957
432	0.01537169755
433	0.01531909519
434	0.01527516607
435	0.01521761766
436	0.01516670802
437	0.01515380524
438	0.0151003696
439	0.01506028792
440	0.01505431834
441	0.01504251141
442	0.01493054542
443	0.01487461261
444	0.0148263931
445	0.01481728283
446	0.01478125225
447	0.01475868949
448	0.01475295012
449	0.01472452715
450	0.01470354716
451	0.01467098694
452	0.01465952519
453	0.01463232873
454	0.01461850147
455	0.01461417366
456	0.01459076071
457	0.01455581521
458	0.01453775515
459	0.01447621797
460	0.01441767983
461	0.01440159336
462	0.01438222557
463	0.01434482982
464	0.01430870377
465	0.01427425507
466	0.0142687767
467	0.01421678804
468	0.01420246123
469	0.01419626504
470	0.01418687096
471	0.01417134948
472	0.01415626472
473	0.01412569156
474	0.01411702869
475	0.01409107423
476	0.0140549175
477	0.01400516298
478	0.01394558894
479	0.01391133717
480	0.01389040275
481	0.0138776673
482	0.01384571193
